id,nombre,descripcion
e1248c1b-e976-4465-bcdf-e29085be7228,CRECIMIENTO,"datos de peso- talla-pc, cada vez que sea posible "
8037dc58-6cfc-438d-9a56-4c88ae9a6744,CONTEXTO SOCIOECONOMICO,Condiciones Familiares
688cdbb0-0c9a-4240-9f6e-d39c7394d930,DESARROLLO NEUROMOTOR,Datos de pruebas de neurodesarrollo
481a37aa-a95b-40b7-beed-a6c020001fce,DESARROLLO CRECIMIENTO,
3c32fa7f-af3c-4fae-a048-25cb3a9c7165,DESARROLLO SENSORIAL,
5ce5af6d-6312-45bd-b492-32427748da85,NUTRICION,
281818e9-23bf-4d63-b3ff-e3c1e9d35851,APEGO(?),
8f8393eb-042c-4453-aba3-26a64b10d88b,HOSPITALIZACIONES,
b1d7eab2-b2f5-4bed-836c-1c0b93ea9a5d,SEGUIMIENTO-VACUNAS-TAMIZ-MORT,"Seguimiento en vacunas, tamizados, "
83a24121-51a9-44dc-a850-edb054cc64bf,POSICIÓN CANGURO,
